Station Code,English Station Name,Thai Station Name,Line(s),First Opened,Has Transfer To,Plus Code,Latitude,Longitude,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
E15,Samrong,สำโรง,BTS,3 April 2017,MRL (under construction),7P52JHWW+M8,13.6467329,100.59585279999999,4,5,0,0,4,5,36,1,0,8
PP03,Sam Yaek Bang Yai,สามแยกบางใหญ่,MRT,12 August 2016,,7P52VCF9+VR,13.874738500000001,100.4195113,1,1,0,4,1,2,11,0,5,4
BL27,Sam Yan,สามย่าน,MRT,3 July 2004,BTS (planned),7P52PGJH+WX,13.7323496,100.5299928,12,86,0,90,24,14,68,11,60,50
BL30,Sam Yot,สามยอด,MRT,29 July 2019,MRT (planned),7P52PGW3+X2,13.747375199999999,100.5025052,3,11,0,56,4,6,43,0,65,20
BL31,Sanam Chai,สนามไชย,MRT,29 July 2019,,7P52PFVV+GV,13.743859,100.49466,4,32,1,40,8,4,33,3,48,34
N4,Sanam Pao,สนามเป้า,BTS,5 December 1999,,7P52QGCR+WR,13.7723637,100.542038,3,6,1,45,12,9,63,4,29,10
N7,Saphan Khwai,สะพานควาย,BTS,5 December 1999,,7P52QGVX+GV,13.7937663,100.54970949999999,3,11,0,27,4,8,53,13,38,14
S6,Saphan Taksin,สะพานตากสิน,BTS,5 December 1999,,7P52PG97+GJ,13.718798999999999,100.514119,4,61,1,25,17,11,39,5,37,51
N12,Sena Nikhom,เสนานิคม,BTS,4 December 2019,,7P52RHRG+FJ,13.8411329,100.576607,4,39,0,32,8,9,38,15,40,15
BL26,Si Lom,สีลม,MRT,3 July 2004,BTS : Sala Daeng,7P52PGHP+PJ,13.729250400000002,100.5365446,5,60,1,37,31,30,94,10,77,39
CEN,Siam,สยาม,BTS,5 December 1999,BTS (planned),,13.775637900000001,100.543198,3,4,1,42,21,13,50,11,15,11
E20,Srinagarindra,ศรีนครินทร์,BTS,6 December 2018,,7P52HJR5+RH,13.592079,100.608906,2,15,0,6,6,4,6,0,10,4
BL22,Sukhumvit,สุขุมวิท,MRT,3 July 2004,BTS : Asok,,13.760136600000001,100.5659859,8,17,0,39,14,31,59,12,116,13
S5,Surasak,สุรศักดิ์,BTS,5 December 1999,,7P52PG9C+MJ,13.7192251,100.52152170000001,8,26,1,32,14,22,70,12,28,22
BL17,Sutthisan,สุทธิสาร,MRT,3 July 2004,,7P52QHQF+WM,13.7898476,100.5741786,3,3,0,38,4,11,40,13,44,25
A1,Suvarnabhumi,สุวรรณภูมิ,ARL,23 August 2010,(planned),7P52MQQ2+X2,13.689999100000001,100.7501124,4,15,1,49,4,5,70,1,107,134
PP02,Talad Bang Yai,ตลาดบางใหญ่,MRT,12 August 2016,,7P52VCJ5+FP,13.8811352,100.40925179999999,3,9,0,50,7,3,22,2,53,11
S10,Talat Phlu,ตลาดพลู,BTS,14 February 2013,,7P52PF7G+MP,13.714222099999999,100.47683570000001,3,5,0,42,5,15,24,6,58,12
PP16,Tao Poon,เตาปูน,MRT,6 August 2016,MRT:Tao Poon(BL10),7P52RG4J+F8,13.806127800000002,100.530761,6,4,0,32,4,11,15,8,21,7
BL19,Thailand Cultural Centre,ศูนย์วัฒนธรรมแห่งประเทศไทย,MRT,3 July 2004,MRT (under construction),7P52QH89+4P,13.7653057,100.5692996,13,7,1,25,46,22,52,5,56,10
BL01,Tha Phra,ท่าพระ,MRT,29 July 2019,,7P52PFHF+VM,13.729652999999999,100.474163,4,3,0,15,6,6,13,4,3,5
E6,Thong Lo,ทองหล่อ,BTS,5 December 1999,MRL (planned),7P52PHFH+MC,13.724243,100.578502,14,10,0,30,11,20,42,18,57,18
E12,Udom Suk,อุดมสุข,BTS,12 August 2011,(planned),7P52MJJ5+2V,13.680075099999998,100.6096967,2,4,0,27,4,11,27,7,32,11
N3,Victory Monument,อนุสาวรีย์ชัยสมรภูมิ,BTS,5 December 1999,SRT (planned),7P52QG7P+4R,13.762792999999999,100.537085,8,41,0,37,12,12,56,13,56,63
BL29,Wat Mangkon,วัดมังกร,MRT,29 July 2019,,7P52PGR6+R2,13.74204,100.510076,7,3,0,49,8,1,61,2,49,24
PP14,Wong Sawang,วงศ์สว่าง,MRT,12 August 2016,,,13.760136600000001,100.5659859,8,17,0,39,14,31,59,12,116,13
S8,Wongwian Yai,วงเวียนใหญ่,BTS,15 May 2009,,7P52PFCV+5X,13.720427599999999,100.49497729999999,1,3,0,23,6,11,28,14,28,10
S11,Wutthakat,วุฒากาศ,BTS,5 December 2013,SRT (planned),7P52PF79+6H,13.7130484,100.4689001,1,4,1,8,4,3,6,4,11,4
PP09,Yaek Nonthaburi 1,แยกนนทบุรี 1,MRT,12 August 2016,,7P52VF8V+9M,13.8659187,100.4942475,5,3,0,43,4,7,30,5,58,4
PP13,Yaek Tiwanon,แยกติวานนท์,MRT,12 August 2016,,7P52RGQ8+Q2,13.8394892,100.5150365,7,6,0,13,3,4,5,5,6,3
