Station Code,English Station Name,Thai Station Name,Line(s),First Opened,Has Transfer To,Plus Code,Latitude,Longitude
N12,Sena Nikhom,เสนานิคม,BTS,4 December 2019,,7P52RHRG+FJ,13.8411329,100.576607
BL26,Si Lom,สีลม,MRT,3 July 2004,BTS : Sala Daeng,7P52PGHP+PJ,13.7292504,100.5365446
BL06,Sirindhorn,สิรินธร,MRT,4 December 2019,,Not Available,Not Available,Not Available
CEN,Siam,สยาม,BTS,5 December 1999,BTS (planned),Not Available,13.7756379,100.543198
E20,Srinagarindra,ศรีนครินทร์,BTS,6 December 2018,,7P52HJR5+RH,13.592079,100.608906
BL22,Sukhumvit,สุขุมวิท,MRT,3 July 2004,BTS : Asok,Not Available,13.7601366,100.5659859
S5,Surasak,สุรศักดิ์,BTS,5 December 1999,,7P52PG9C+MJ,13.7192251,100.5215217
BL17,Sutthisan,สุทธิสาร,MRT,3 July 2004,,7P52QHQF+WM,13.7898476,100.5741786
A1,Suvarnabhumi,สุวรรณภูมิ,ARL,23 August 2010,(planned),7P52MQQ2+X2,13.6899991,100.7501124
PP02,Talad Bang Yai,ตลาดบางใหญ่,MRT,12 August 2016,,7P52VCJ5+FP,13.8811352,100.4092518
S10,Talat Phlu,ตลาดพลู,BTS,14 February 2013,,7P52PF7G+MP,13.7142221,100.4768357
PP16,Tao Poon,เตาปูน,MRT,6 August 2016,MRT:Tao Poon(BL10),7P52RG4J+F8,13.8061278,100.530761
BL19,Thailand Cultural Centre,ศูนย์วัฒนธรรมแห่งประเทศไทย,MRT,3 July 2004,MRT (under construction),7P52QH89+4P,13.7653057,100.5692996
BL01,Tha Phra,ท่าพระ,MRT,29 July 2019,,7P52PFHF+VM,13.729653,100.474163
E6,Thong Lo,ทองหล่อ,BTS,5 December 1999,MRL (planned),7P52PHFH+MC,13.724243,100.578502
E12,Udom Suk,อุดมสุข,BTS,12 August 2011,(planned),7P52MJJ5+2V,13.6800751,100.6096967
N3,Victory Monument,อนุสาวรีย์ชัยสมรภูมิ,BTS,5 December 1999,SRT (planned),7P52QG7P+4R,13.762793,100.537085
BL29,Wat Mangkon,วัดมังกร,MRT,29 July 2019,,7P52PGR6+R2,13.74204,100.510076
PP14,Wong Sawang,วงศ์สว่าง,MRT,12 August 2016,,Not Available,13.7601366,100.5659859
S8,Wongwian Yai,วงเวียนใหญ่,BTS,15 May 2009,,7P52PFCV+5X,13.7204276,100.4949773
S11,Wutthakat,วุฒากาศ,BTS,5 December 2013,SRT (planned),7P52PF79+6H,13.7130484,100.4689001
PP09,Yaek Nonthaburi 1,แยกนนทบุรี 1,MRT,12 August 2016,,7P52VF8V+9M,13.8659187,100.4942475
PP13,Yaek Tiwanon,แยกติวานนท์,MRT,12 August 2016,,7P52RGQ8+Q2,13.8394892,100.5150365
